Artist,Pitch Count
10th-street,5
4-degrees-of-freedom,1
6ix-mhz-25276,2
8-bit-culprit,1
Aardee,1
Abhijeet-Sawant,1
Akira's-Tricolour,1
Antara-,1
Antara-Mitra,1
Anuragi,1
Bhavya-Pandit,1
DJ-Louis,1
DJ-Sonya,1
Daksh,1
Divya-Kumar,1
Dualist-Inquiry,2
Hariharan,1
Harshi-,1
Harshi-Mad,1
Jaspreet-Jasz,1
Jeffrey-Iqbal,1
Kabir-Singh-Bhandari,5
Kailash-Kher,1
Kavita-Krishnamurthy-Subramaniam,1
M-Sonu,1
MADBOYOrOrMINK,2
MOhit-,1
MOhit-Lalwani,1
Mauli-Dave,1
Mohammed-Irfan,1
Mohd-Amir,1
Monali-Thakur,1
Munny-Fame,1
MusiCorp,1
Nakash-,1
Natalie-,1
Natalie-Di-Lucio,1
Neha-Kakkar,1
Panchtarni,1
Prayas,1
Rahul-,1
Rahul-Vaidya,1
Rakesh-Singh,1
Rekha-Bhardwaj,1
Rimi-Nique,1
Rituraj-Mohanty,1
Roop-Kumar-and-Sunali-Rathod,1
Sachin-Jigar,1
Samay,1
Shankar-Mahadevan,1
Shilpi,1
Sona-Mohapatra,1
Sourabhee-Debbarma,1
Ssameer-with-Qasbah,1
Sugandha-Mishra,1
Tochi-Raina,1
Tulika-Ganguly,1
a---bong,1
a-kay,1
a-short-summer,1
a-square-live,2
a26,1
aabha-hanjura-and-sufistication,1
aabhaas,1
aafreen-vaz,9
aakanksha-sharma,13
aakanksha-vernekar,1
aakar,4
aakarshak-mishra,1
aakash-gupta,42
aalaps,1
aamer-peeran,3
aanchal-shrivastava,1
aanya,9
aanya-singh,5
aarambh,1
aardee,10
aarmash,1
aaron-fernandes,1
aarsh-benipal,5
aartii-nagpal,2
aarushi-oswal,1
aashi-sharma,1
aashiyaan,1
aasma-dance-company,1
aatish,1
aawaaz,3
aawara-the-band,1
aayana-dance-company,3
aayushi-jagad,3
abazz,14
abel-mathews,4
abha-singhaal,1
abhigyan-das,7
abhijeet-sawant,4
abhijit-ganguly,34
abhijit-ghoshal,2
abhijit-gupta,1
abhijit-mazumdar,1
abhijith-ps-nair,1
abhilesh---goldiee,1
abhimanyu-lal,2
abhinab-dan,1
abhinav-johari,1
abhinav-shankar,2
abhishek-chatterjee,1
abhishek-gaurav-photography,1
abhishek-malik,8
abhishek-rajpurohit,1
abhishek-singh,1
abhishek-upmanyu,41
abishek-kumar,2
abloom-dance-company,2
aboriginals-project,1
accerto,2
aceaxe,4
adbhutam,2
addiction-age,1
addiction-the-band,1
adhyayan-suman,2
adil-ibrahim,6
adil-nadaf,1
aditi,1
aditi-arya,2
aditya-narayan,3
aditya-photography,1
aditya-shridhar,6
adrian-lewis,1
adrija-gupta,1
afsha-khan,3
afterlive,1
agastyafor,1
agnee,2
ahad-band,3
ahmed-shariff,9
ahsaan-qureshi,3
air-dance-crew,1
aisha-ghani,1
aishwarya-anand,31
aishwarya-bharadwaj,3
aishwarya-majmudar,2
aishwarya-nigam,3
aishwarya-suresh,1
aj-and-dj-mack,1
aj-frames,1
ajay-234084,1
ajay-shaw,2
ajaz-khan,8
ajit-shukla,1
akash-arora,1
akash-choudhary,1
akash-gautam,1
akash-gupta,2
akash-gupta?id_op=7e0c93ff-b478-4667-9d1d-8aeb0f519781,1
akash-vincent,1
akbar-sami,2
akhil,31
akhtar,2
akira's-tricolour,9
akriti-kakar,5
akshat-panwar,1
akss,1
alaap-the-band,1
alakh,3
alamgir-khan-236213,1
alankar-folk-musical-group,2
alankrita-bari,2
alfaaz,38
ali-quli-mirza,9
alienz,1
alina-yasmin,1
alisha-arora,10
alive-240725,1
alka-yagnik,1
all-india-permit,2
alo,1
alpatva,3
alphons-joseph,1
altamash,1
altamash-faridi,1
aman-khanna,1
aman-mahajan,1
aman-malhotra-236288,1
amandeep-singh,1
amandeep-singh-malhotra,3
amar,26
amar-dhar,1
amar-sabyasachi,1
amar-sen,1
amarpreet-singh,2
amit-bhadana-246822,2
amit-big-b,1
amit-gaur,5
amit-mehra,2
amit-mutreja,1
amit-sana,1
amit-tandon,27
amit-trivedi,2
ammy-virk,12
amol-arun-shende,1
amour,1
amrapali-shindhe,1
amrit-maan,5
amyra,1
anagha-hindlekar,1
anand-munshi,1
ananth-nagarkar,1
ananya-mishra,2
anaya-brahma,1
anchor-abhi,1
anchor-ali,1
anchor-anvi,3
anchor-divya-vijayvargiya,5
anchor-dolesh,1
anchor-ekta-sharma,4
anchor-gaurav,10
anchor-jhansi,1
anchor-kanika-srivastava,2
anchor-kavea-r-chavali,1
anchor-kirti-vardhan,1
anchor-lavina-galani,3
anchor-lawrance,1
anchor-manalee-shah,1
anchor-naina,1
anchor-navin-khanchandani,1
anchor-neha-sharma,1
anchor-nikhil-khatri,1
anchor-om,3
anchor-priya,1
anchor-rocky-gill,1
anchor-ruchi-singh,2
anchor-rupali-guha,5
anchor-shina-gujral,3
anchor-varsha-jha,1
anchor-vedangee,2
anchor-vishal,2
andrea-jeremiah-247323,1
aneek-dhar,2
aneesh-pillai,2
aneesh-pillai?id_op=7e0c93ff-b478-4667-9d1d-8aeb0f519781,1
angad-singh-ranyal,38
angel-aru,1
angshuman-pol,1
anhad,1
anhad-the-band,16
anill-dogra,1
anindita,1
anirban-dasgupta,9
anirudh-das,1
anish-nair-project,1
anish-sood,8
anita-hassanandani-reddy,7
anjali-kapoor,3
anjali-wadhwani,2
ankaheen-the-unspoken-words,1
ankesh-jha,1
ankit-gera-234660,7
ankit-pandey,4
ankit-rohida,1
ankit-sisodiya,5
ankit-tiwari,1
ankit-upadhyay,1
ankita,14
ankita-barche,1
ankita-chatterjee,1
ankita-mandal,1
ankita-mishra,14
ankita-mishra-238167,1
ankita-sharma-232680,2
ankur-kaushal-photography,1
ankur-thatai-â€“-wedding-photojournalist,1
anmol-gagan-maan,21
anmol-shukla,8
anoop-r-nair,1
anoop-talwar,1
anshuk-mansingka-photography,1
anshul-kapoor,1
antara-mitra,2
antariksh,11
antarikshRecommended),2
antarix,1
antidote,1
antimatter,1
anubhav-suman,1
anuj-and-meenu-chaturvedi,1
anuj-pathak,3
anuja-ghadge,1
anup-kumar,2
anupam-anand,2
anupma-singh,1
anuradha-paudwal,1
anurag-sharma,1
anurag-srivastava,1
anurag-the-flutist,1
anuragi,9
anusha-mani,3
anushka-and-agent,2
anushka-manchanda,4
anwesha-dutta-gupta,1
any-me,5
aparshakti-khurana,2
appurv-gupta,57
aradhaya-the-band,1
arag,2
aravind-sa,3
archita-bhattacharya,1
aritra-sen,12
arjan-bajwa,3
arjun-handa,1
arjun-kanungo,4
arkane,1
armaan-bedil,1
armaan-malik,3
arnav-rao,1
arpan-chahal-photography,1
arpan-sen,1
arpit-chourey,1
arpita-mukherjee,1
aruna-irani,5
aruna-sairam,1
arunjyoti-photography,1
asar,1
asees-kaur,14
ash-beniwal,1
ash-king,3
ash-roy,1
ashish,1
ashish-bhati,1
ashish-chhabra-project-jazba,1
ashish-janiani,2
ashok-khosla,1
ashok-mastie,4
ashtmi,7
asif-jeriya,1
asmik-gaba,1
astitva,2
atharva,3
atom-bass-boy,1
atul-khatri,37
avantika-bakshi-239649,2
avartan,2
avijit-and-tinku,1
avinash-agarwal,2
avinash-ghosh,2
aviral-malay,5
avp,1
axis-images,1
ayaan,1
ayushi,1
azaan-sahab,13
azaan-sahab-with-his-band,6
azeem-banatwalla,5
baawre-the-band,1
babbal-rai,1
babul-supriyo,1
bachan-bedil,1
badal-barai,1
badshah,5
baila-loca,1
bal-dhillon,2
bandeya-the-band,1
bandishein-231844,1
bandits-sync-masters,1
banditz,1
bards-of-the-east,1
basspatch,5
bassque,1
bb-ki-vines,3
beat-breakers-dance-institute,1
beat-busters,4
beatbusters,1
beatcrush,6
beatcrush,1
beatroid,1
beatronix,1
beauty_spot,1
beef-sappad-trio,1
bella-sulakhe,1
bennet-and-the-band,2
benny-dayal,3
beri-brothers,1
berry,2
bhadraksh,4
bhagyashree-patwardhan,4
bhangra-tronics,1
bhanu-prtap,1
bharat-sundar,1
bharti-singh,1
bhaskar-haldhar,1
bhavana-bhatia,4
bhaveek,1
bhavita-singh,15
bhavya-arora,1
bhavya-dedhia,1
bhavya-pandit,1
bhawna-kataria,1
bhoomi-trivedi,7
bhooteshwara,3
bhrame,2
bhumika-anantharaman,5
bhuvan-bam,2
bhuvnesh-baawra,2
bianca-gomes,1
big-deal,1
big-m,3
bilal-saeed,1
binals-dance-academy,1
bineeta-bhattacharya,1
bir-radha-sherpa,1
bir-singh-turbanmusic,4
bismil-239625,3
blackriders-dance-crew,1
blank,1
blossom-d'souza,1
blues-conscience,1
bohemia,5
bollywood-brothers,3
bombay-bairag,1
bonnie-fernandes,2
brahmin,1
braidel-mehandi-art-by-ramesh,1
brandon-lalkaka,3
brij-kohli-mkovers,1
browbeatz,1
brown-bastards,1
bryden-and-parth,2
burma-bazaar-conspiracy,1
cadence-of-the-soul,1
calm-chore,1
camera-cholche,1
candice-redding,11
candid-affair,1
candid-fotography,1
candid-moments-photography,1
candid-photographer-in-kolkata,1
candyflip-sundae,1
capital-three,1
capricio,1
chaitanya-iyer,1
chand-qadri-afzal-chishti,1
chandan-rastogi,1
chandni-bhagwanani,21
chandrika-ravi,1
chandroday-pal,1
charlie-chauhan,21
charu-chandra,1
charu-semwal,28
chennai-comedy,4
chinmay-mhatre,22
chinmoy,1
chintan-mudras,1
chirag-wadhwani,10
chirayu-mistry,2
chitra-roy,2
chizai,1
choreotheque-dance-studio,1
chromatic-curves,1
clyde,2
code-a,1
colaba-point,1
coldhaze,1
colonel-aalok-sood,1
comedian-shashi,7
corals-the-band,2
crafts-of-kammotionn,2
cranknob,1
crazy-vibe,1
crystal-heads,1
crystals-dance-troup,4
cryze-raver,3
cyrus-sahukar,2
d-and-g-projectz,1
d-element-dance-company,2
daira,2
daksh,12
dale,7
dalljiet-kaur,12
dance-street,2
dance-with-aye,2
dandiya-dance,1
daniel-fernandes,22
dark-angel-dance-crew,1
dark-x-destiny,1
darshan-raval-238507,15
dawn-tobin-makeup-artist-and-stylist,1
debajit-acharjee,1
debashish-ghosh,20
debojit-saha,2
decisions,2
dee-j-sny,1
deej-,1
deej-stuti,15
deejay-axi,1
deejay-dee,1
deejay-jiju-official,1
deejay-pravesh,1
deejay-ricky,2
deejay-skull,1
deejay-vyas,1
deep-chhabria,7
deep-dhillon,1
deepa-km,1
deepak,7
deepak-malik,2
deepak-mishra,1
deepan-mukherjee,1
deepika-singh,4
deepshikha-nagpal,20
deepster-feat-sultan-live,1
deepu-dileepan,1
deja-view,1
delbar-arya,1
delhi-dance-academy,1
delhi-indie-project,2
delhicious-harmony,1
demiurgic,2
desi-crew,1
desi-roots,2
desi-twist,1
destiny,1
devpriya-mohata-photography,1
dhanraj-panchal,1
dhinchak-pooja,1
dhol-punk,1
dhruv-immortal,1
dhruv-sangari,1
dhwani,1
dhwani-mittal,3
diljit-dosanjh,3
dilpreet-dhillon,4
dimple-pancholi,2
dinesh-kumar,1
dipanshu,5
dipoo-srivastava,2
dipthi-aashok-makeup,1
disha-patani,6
div,1
divine-connection,1
divine-symphony,1
divya-divakar,2
divya-joshi,1
divya-kumar,7
divya-malik,3
divya-vaid,1
diwakar-singh-kachhawaha,2
diya-lamba,1
dj-abhi-gond,1
dj-abhishek-bhosale,1
dj-abi,1
dj-aj,1
dj-akanksha-popli,7
dj-ana,5
dj-anant,1
dj-anastasia,1
dj-angel,1
dj-ankur,1
dj-appy,1
dj-aqeel,3
dj-arpn,1
dj-ashish-nagpal,2
dj-bally-singh,1
dj-barkha,4
dj-berry-gangsta,4
dj-bobz,1
dj-bprks,1
dj-brixxx,1
dj-chetan,3
dj-chetas,5
dj-dippy,1
dj-doctor,4
dj-faiz,1
dj-gauravv,4
dj-gouri,4
dj-govind,1
dj-groove-dev,8
dj-happy-chopra,1
dj-himanshi,5
dj-himanshi-koala,4
dj-ivan,1
dj-jenish,1
dj-jimmy,1
dj-joshua,1
dj-k-four,1
dj-kamya,2
dj-kant,1
dj-kim,1
dj-kiran-kamath,2
dj-kunal-234593,1
dj-kunal-bajaj,8
dj-lloyd,1
dj-mansur,1
dj-mick-sondhi,1
dj-mohit-191164,1
dj-msk,1
dj-namiz,1
dj-nav-kaur,10
dj-navendu,1
dj-niccon,1
dj-nick-eight,1
dj-nik'j,3
dj-nika,3
dj-nikkhil,1
dj-nyk,13
dj-oppozit,1
dj-paroma,3
dj-pasha-doll,4
dj-peri,2
dj-perisha,1
dj-pia,5
dj-pihu,2
dj-prashant,3
dj-prithvi-arora,9
dj-r-nation,1
dj-raj,1
dj-ravi,1
dj-ray,2
dj-ricky,1
dj-riktam,1
dj-rink,1
dj-rippen,1
dj-rishabh,1
dj-rocky,4
dj-rohan-sd,2
dj-sach,2
dj-sagar,1
dj-sahil-delhi,1
dj-santy,1
dj-saone,1
dj-satz,1
dj-sau,1
dj-saurabh-3809,3
dj-savyo,1
dj-scr3w,1
dj-shaan,2
dj-shadow,10
dj-shadow,1
dj-shaturn,1
dj-sherley,1
dj-sherwin,1
dj-sheryl,1
dj-shivam,1
dj-shy,2
dj-siddharth,1
dj-sidh,1
dj-sonya,9
dj-sugi,1
dj-surya,1
dj-tash,1
dj-tejas,1
dj-tishya,2
dj-troy,1
dj-veekay,1
dj-veepee,1
dj-vkey-and-meeta-the-sufi-duo,2
dj-yash-gawde,1
dj-yoddha,1
dj-yog,1
djane-kmk,1
dna-photographix,1
dnr-crew,2
do-berozgaar,1
dolon-majumdar,2
dr-pawan-agrawal,1
dr-sanket-bhosale,4
dte-dance-the-entertainment,5
dualist-inquiry,2
durjoy-datta,1
durnibar-saha,9
dutch-street,2
dv-dance-crew,1
dvaj,2
dvg,1
dynamic-dance-crew,2
eclipse-the-band,1
ehsaas,7
ektal,9
electron,1
elektrovertz,1
elly-emily,1
em-kaur,1
emcee-ankur,2
emcee-arjun,1
emcee-david,2
emcee-kp,1
emcee-lavy,1
emcee-pramod,4
emcee-raina,4
emcee-sam,6
emotions-unplugged,1
enakshi-sharma,3
envy,1
erica-fernandes,3
essayy,4
evelyn-sharma,9
faiza-khan,2
falah-faisal,3
falguni-pathak,2
famous-crew,3
faridkot,2
fariyaad,1
fazeel-ahmed,3
fazilpuria,2
fear-vortex,1
fictitious-kings-united-india,1
fieto-and-fables,1
finix-ramdas,2
firoz-a-khan,1
fitoor-the-band,4
flash,1
flavour-of-strings,2
fliptrip,3
fokal-point-productions,1
foot-loose-dance-academy,3
fossils,1
foto-kraft,1
foto4ever,1
four-frets,1
frequency-project,2
fullstop,1
funny-boys,1
fusion-step,3
g-sharp,1
gaby,1
gagan-bakana,3
gagan-kokri,1
gaman-the-movement-factory,2
gammat-gappa,3
ganichoudari,1
gargi-goswami,2
garima-kaushik,1
garima-khiste,1
garry-sandhu,1
garv-malik-147086,3
gaurav-arora-photography,1
gaurav-dubey-the-deceptionist,2
gaurav-dutta,11
gaurav-ghelot,1
gaurav-gupta,8
gaurav-kapoor,54
gaurav-madan,1
gaurav-n-chandni,1
gauri-sandhu-232555,1
gauri-tonk,2
gaytri-asokan,1
gazal-vats,1
geet-sagar,1
gehana-vasisth,5
ghansham-s-vaswani,1
gippy-grewal,5
gitanjali-rai,1
goldie-sohel,19
goldy-singh,1
goonj,2
goonjjj,1
goonjjj-239724,3
govind-kurnool-the-singer,1
gowry-lekshmi,1
gravity,1
greyfade,1
groove-chutney,1
grooves-entertainment,4
guitarist-vicky,1
gul-panag,6
gulshan-jethwani,2
gulshan-jethwani?id_op=7e0c93ff-b478-4667-9d1d-8aeb0f519781,1
gunjan-balwani,1
gupz-sehra,1
gurbax,1
gurdas-maan,1
gurdeep-mehandi,4
gurnazar-chattha,1
gurpreet-mahar,1
guru-harish-gangani,1
guru-randhawa,8
hakuna-matata,2
happy-dancing-feet,1
harbhajan-mann,3
hard-kaur,1
hardy-sandhu,43
hari-and-sukhmani,9
hariharan,2
harinder-maan,1
harish-moyal,21
harleen-singh,1
harpreet,3
harsh,1
harsh-beniwal,1
harsh-mehrotra,3
harshaali-malhotra,3
harshad-chopra,7
harshdeep-kaur,1
harshit-arora,3
harshita-choudhary,1
harshvardhan-rane,3
hasleen-kaur,7
haze,4
hazel-keech,4
heena-verma,1
hemant-adwani,2
hemant-kaushik,1
hemant-kumar-bidawat,2
hereafter-official,1
hidden-identity,1
highway-69,1
hijas-moosa,11
himani-kapoor,11
himani-singh,2
himanshi-s-chatwani,1
hina,1
hindukush,1
hip-hop-unite,1
hipnotix-dance-troupe,1
hiten-panwar,1
honey-gill,5
hostilian,1
hricha-debraj,2
hriday-gattani,2
hritz,1
humming-bird,1
humsufi,1
ibaadat,1
idance-india,1
ikka,36
ikka-singh,3
ikrah,2
ilahi,2
illusive,1
immortal-dance-world,4
immortal-peace,1
immortal-strings,1
inasha-tiwari,1
indeep-bakshi,52
inder-chahal,7
indi-ever,3
indian-fusion,1
indian-mauj,1
indian-ocean,1
indian-saga,2
indian-strummer,1
indian-wedding-choreography,1
indigenous-fakirs,3
indranath-chatterjee,2
indus-fleet,1
inertians,1
infinity-squarred---arpit,2
inhale,1
inquilab,1
international-african-acrobat,1
international-chandelier-bar-act,2
international-fire-dancers,1
international-hula-hoop-dancers,1
international-pole-dancer,2
international-symphony,2
ioish,2
irfan-khan,1
irwin-victoria,1
ishan-isaacs,5
ishani-dave,1
ishani-dave-234954,3
j-star,4
jaaltheband,1
jagan-krishnan,1
jagdish-chaturvedi,17
jagjeet,1
jai-soni,6
jamie-lever,1
januppa-karnani-choreography,1
japtej-singh,5
jasdil-singh,8
jaskaran-singh,2
jaskaran-singh-236301,3
jasleen-matharu,1
jasmine-sandlas,19
jason-tham,1
jaspreet-singh,51
jass-bajwa,12
jassi-gill,6
jassi-sidhu,4
jassi-sohal,1
jassimran-keer,2
jaswir-kaur,18
javed-ali,2
jay-chhaniyara,1
jay-karmani,1
jay-rana-and-sammy-malik,1
jayant-sankla,8
jayvijay-sachan,4
jaz-dhami,3
jazba-e-junoon,12
jazzleen,1
jazzy-b,4
jeeveshu-ahluwalia,60
jeeya-sethi,10
jeeya-sethi,1
jenny-d-souza,3
jeremiah-29-11,2
jerus-dance-academy,1
jhalak-dance-studio,1
